range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
64601, 2, 28842, 40768.9, 78, 17313.6, 21855.6, 2360, 4090, 940
57656, 2, 28842, 40768.9, 6, 2772.33, 2488.12, 2280, 1430, 990
57656, 2, 28842, 40768.9, 2, 6064, 7973.34, 2230, 850, 940
65391, 2, 28842, 40768.9, 152, 16850.7, 21358.8, 2420, 6740, 1040
57656, 2, 28842, 40768.9, 8, 7335.62, 8131.64, 2280, 1480, 1010
57656, 2, 28842, 40768.9, 2, 5922.5, 8312.04, 2290, 850, 940
65036, 2, 28842, 40768.9, 14, 25785.1, 28563.6, 2260, 1750, 960
65134, 2, 28842, 40768.9, 152, 16868, 21350, 2520, 6690, 1160
57656, 2, 28842, 40768.9, 4, 19747.2, 22265.3, 2220, 1400, 970
57656, 2, 28842, 40768.9, 2, 3683.5, 4562.96, 2309, 850, 940
59434, 2, 28842, 40768.9, 6, 20846.8, 29957.4, 2360, 1450, 950
59695, 2, 28842, 40768.9, 6, 20742.8, 24431.1, 2310, 1430, 960
65371, 2, 28842, 40768.9, 176, 16993.8, 21924.9, 2370, 7510, 1200
57656, 2, 28842, 40768.9, 4, 14505.8, 20898, 2130, 1350, 970
64891, 2, 28842, 40768.9, 152, 16458, 21105.8, 2540, 6730, 1030
57656, 2, 28842, 40768.9, 4, 26346.8, 29842.9, 2160, 1330, 950
65527, 2, 28842, 40768.9, 1237, 16806.5, 21365.3, 3040, 2050, 1140
57656, 2, 28842, 40768.9, 2, 3830.5, 5354.92, 2140, 890, 910
64034, 2, 28842, 40768.9, 20, 29101.1, 30111.2, 2410, 1990, 910
57662, 2, 28842, 40768.9, 2, 9782.5, 13823.2, 2140, 870, 910
60683, 2, 28842, 40768.9, 2, 30407.5, 42835.8, 2060, 890, 990
63481, 2, 28842, 40768.9, 2, 31997.5, 44544.2, 2150, 850, 940
59731, 2, 28842, 40768.9, 2, 29905.5, 42199.4, 2140, 850, 890
