range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
41900, 10, 20967, 22080.1, 8, 16100.6, 17419.8, 2150, 890, 920, 1130
42329, 10, 20967, 22080.1, 6, 21184, 23184, 2140, 940, 1030, 1210
63522, 10, 20967, 22080.1, 841, 14720.3, 19586.5, 2320, 1350, 1420, 1510
41897, 10, 20967, 22080.1, 40, 91.25, 73.2868, 2310, 1290, 1290, 1300
65407, 10, 20967, 22080.1, 13262, 16462.5, 21056.7, 2730, 4890, 3460, 2730
41897, 10, 20967, 22080.1, 2, 2941.5, 4133.04, 2010, 810, 890, 1010
64846, 10, 20967, 22080.1, 4657, 16038.5, 20258.9, 3280, 3700, 2740, 2280
64509, 10, 20967, 22080.1, 512, 17614.8, 21392, 2740, 1830, 1580, 1680
65025, 10, 20967, 22080.1, 64, 17643.7, 23184.5, 2260, 920, 1070, 1390
41900, 10, 20967, 22080.1, 1948, 701.25, 713.693, 2330, 27900, 21829, 12980
41898, 10, 20967, 22080.1, 2, 8560.5, 12080.9, 1950, 790, 850, 990
42438, 10, 20967, 22080.1, 8, 21238.2, 22683.3, 2150, 950, 1030, 1230
65136, 10, 20967, 22080.1, 774, 14095.3, 21165.6, 2120, 940, 990, 1250
65400, 10, 20967, 22080.1, 2849, 18054.1, 21454.2, 2760, 4260, 3080, 2470
58426, 10, 20967, 22080.1, 2, 29228, 41313.4, 2040, 930, 970, 1230
64666, 10, 20967, 22080.1, 1398, 14985.2, 20170.2, 3120, 1410, 1450, 1530
62493, 10, 20967, 22080.1, 62, 17702.4, 22490.2, 2100, 980, 1070, 1430
41907, 10, 20967, 22080.1, 2, 19564, 27654.9, 1920, 1710, 850, 1010
41900, 10, 20967, 22080.1, 8, 10747.6, 14854.6, 2100, 880, 960, 1120
65277, 10, 20967, 22080.1, 807, 15941.5, 20680.2, 2010, 940, 960, 6150
65501, 10, 20967, 22080.1, 1050, 17967.5, 21673.1, 2460, 1350, 1390, 1460
65426, 10, 20967, 22080.1, 1845, 15706.7, 19927.6, 2550, 1250, 1230, 1470
65190, 10, 20967, 22080.1, 2044, 32353.8, 32348.3, 2050, 920, 980, 1250
65336, 10, 20967, 22080.1, 2453, 15861.9, 20222.7, 2630, 1740, 1540, 1570
64330, 10, 20967, 22080.1, 2889, 16310.1, 20449.8, 2490, 2430, 1960, 1800
63399, 10, 20967, 22080.1, 429, 17443.7, 19750.4, 2960, 1730, 1710, 3850
49754, 10, 20967, 22080.1, 2036, 24637.8, 24629.7, 2130, 910, 980, 1260
65420, 10, 20967, 22080.1, 3940, 17760.2, 22056.7, 2720, 1670, 1680, 1740
41915, 10, 20967, 22080.1, 2576, 10546.2, 10550.6, 2650, 35500, 28609, 15930
41906, 10, 20967, 22080.1, 2206, 12980, 12974.9, 2250, 30139, 24590, 13640
41897, 10, 20967, 22080.1, 2, 2803.5, 3937.88, 2000, 760, 870, 1010
65387, 10, 20967, 22080.1, 3837, 17323.1, 21382.2, 2330, 1560, 1430, 1540
64907, 10, 20967, 22080.1, 1801, 17985, 21933.9, 2390, 1550, 1380, 1549
59411, 10, 20967, 22080.1, 4, 18401.5, 28149.1, 2050, 930, 980, 1230
64330, 10, 20967, 22080.1, 1459, 16653.1, 20957.1, 2590, 1050, 1180, 1450
41900, 10, 20967, 22080.1, 2, 16200.5, 22888.3, 2040, 810, 880, 1040
41896, 10, 20967, 22080.1, 8, 20605.2, 22006.6, 1980, 960, 970, 1120
41907, 10, 20967, 22080.1, 1932, 5758.25, 5754.12, 2560, 27119, 21670, 12780
41913, 10, 20967, 22080.1, 326, 16417, 16439.3, 2240, 5040, 4350, 3310
41899, 10, 20967, 22080.1, 1086, 14487, 14477.1, 2420, 15030, 12560, 7380
58429, 10, 20967, 22080.1, 10, 18775.2, 22043.6, 2430, 950, 1110, 1390
64870, 10, 20967, 22080.1, 1728, 16381.8, 21717.2, 2520, 1390, 1300, 1530
65058, 10, 20967, 22080.1, 2588, 17323.2, 21529.6, 2520, 1690, 1510, 1560
