range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
57656,2,28842,40768.9,2,23070.5,31915.3,25,26,20,non_skewed
57656,2,28842,40768.9,2,11169,15091.1,27,24,19,non_skewed
64785,2,28842,40768.9,4,19400.5,30742,28,46,25,non_skewed
57656,2,28842,40768.9,2,25283,35686.3,25,25,18,non_skewed
57656,2,28842,40768.9,14,15793.9,16792.2,34,45,34,skewed_1
58023,2,28842,40768.9,12,10727.4,16555.2,31,61,30,non_skewed
57656,2,28842,40768.9,2,18002,25386.5,24,23,19,non_skewed
65031,2,28842,40768.9,152,16837.6,21376.7,62,267,19,non_skewed
64245,2,28842,40768.9,44,19488.9,21954,47,97,25,non_skewed
61604,2,28842,40768.9,4,21605.8,28896.5,29,41,26,non_skewed
57656,2,28842,40768.9,2,26162.5,36935.7,24,25,18,non_skewed
57656,2,28842,40768.9,6,17975.8,19254.2,29,38,20,non_skewed
57656,2,28842,40768.9,6,16708.5,18844.5,29,41,20,non_skewed
57656,2,28842,40768.9,2,13076.5,17785.9,27,26,17,non_skewed
60471,2,28842,40768.9,2,30265,42737.5,31,24,20,non_skewed
57656,2,28842,40768.9,2,11492,16051.3,24,25,18,non_skewed
57656,2,28842,40768.9,2,23885.5,33070.7,24,23,19,non_skewed
57656,2,28842,40768.9,6,22924.2,25330.5,32,40,20,non_skewed
57656,2,28842,40768.9,2,18895,26448.6,24,23,18,non_skewed
57656,2,28842,40768.9,2,2441,2743.57,24,24,19,non_skewed
64478,2,28842,40768.9,8,29795.9,31827.7,36,54,27,non_skewed
57656,2,28842,40768.9,2,24489,34026,26,25,19,non_skewed
57656,2,28842,40768.9,2,9953,13361.5,25,24,19,non_skewed
57656,2,28842,40768.9,2,25491,35981.8,27,24,18,non_skewed
63960,2,28842,40768.9,4,18818,30559.9,44,42,25,non_skewed
64341,2,28842,40768.9,152,16124,20846.9,54,271,44,non_skewed
57656,2,28842,40768.9,2,12642,17164.3,26,25,18,non_skewed
62976,2,28842,40768.9,26,11665.5,15742.8,38,89,30,non_skewed
57656,2,28842,40768.9,2,26905,37787.8,24,25,18,non_skewed
57656,2,28842,40768.9,2,26260.5,36561,35,25,19,non_skewed
57656,2,28842,40768.9,2,18324,25779.7,24,24,18,non_skewed
65194,2,28842,40768.9,152,16976.6,21472.8,46,288,36,non_skewed
57656,2,28842,40768.9,6,14826.3,16002.6,28,36,20,non_skewed
57889,2,28842,40768.9,2,29058,40793,32,25,18,non_skewed
57656,2,28842,40768.9,2,16007,22058.9,25,24,18,non_skewed
57656,2,28842,40768.9,2,28750.5,40588.6,34,25,19,non_skewed
61471,2,28842,40768.9,8,20060.1,27492.4,29,62,25,non_skewed
65300,2,28842,40768.9,24,12957.8,19551.8,45,85,50,skewed_1
57656,2,28842,40768.9,4,8799.25,9579.68,29,36,19,non_skewed
64874,2,28842,40768.9,4,27471.8,32460.8,38,29,19,non_skewed
57656,2,28842,40768.9,4,27397.2,31577.9,29,26,20,non_skewed
