range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
41898,10,20967,22080.1,2,8560.5,12080.9,35,20,19,20,non_skewed
42438,10,20967,22080.1,8,21238.2,22683.3,45,40,41,48,skewed_2
65136,10,20967,22080.1,774,14095.3,21165.6,40,34,29,28,vector
65400,10,20967,22080.1,2849,18054.1,21454.2,98,120,105,75,vector
58426,10,20967,22080.1,2,29228,41313.4,41,22,29,50,skewed_2
64666,10,20967,22080.1,1398,14985.2,20170.2,87,53,55,71,skewed_2
62493,10,20967,22080.1,62,17702.4,22490.2,43,42,31,39,non_skewed
41907,10,20967,22080.1,2,19564,27654.9,26,19,18,28,non_skewed
41900,10,20967,22080.1,8,10747.6,14854.6,35,29,28,35,non_skewed
65277,10,20967,22080.1,807,15941.5,20680.2,56,44,38,182,non_skewed
65501,10,20967,22080.1,1050,17967.5,21673.1,60,47,45,49,non_skewed
65426,10,20967,22080.1,1845,15706.7,19927.6,63,51,48,45,vector
65190,10,20967,22080.1,2044,32353.8,32348.3,46,21,21,28,skewed_2
65336,10,20967,22080.1,2453,15861.9,20222.7,62,60,59,45,vector
64330,10,20967,22080.1,2889,16310.1,20449.8,40,75,66,53,skewed_1
63399,10,20967,22080.1,429,17443.7,19750.4,100,57,65,123,skewed_2
49754,10,20967,22080.1,2036,24637.8,24629.7,49,22,20,32,non_skewed
65420,10,20967,22080.1,3940,17760.2,22056.7,76,55,62,51,vector
41915,10,20967,22080.1,2576,10546.2,10550.6,58,1239,638,409,skewed_1
41906,10,20967,22080.1,2206,12980,12974.9,57,1039,547,366,skewed_1
41897,10,20967,22080.1,2,2803.5,3937.88,36,20,19,19,non_skewed
65387,10,20967,22080.1,3837,17323.1,21382.2,48,49,51,51,skewed_1
64907,10,20967,22080.1,1801,17985,21933.9,39,51,51,43,skewed_1
59411,10,20967,22080.1,4,18401.5,28149.1,41,21,21,47,skewed_2
64330,10,20967,22080.1,1459,16653.1,20957.1,50,34,46,48,skewed_2
41900,10,20967,22080.1,2,16200.5,22888.3,35,19,19,18,vector
41896,10,20967,22080.1,8,20605.2,22006.6,58,44,40,26,vector
41907,10,20967,22080.1,1932,5758.25,5754.12,56,908,496,317,skewed_1
41913,10,20967,22080.1,326,16417,16439.3,49,178,119,84,skewed_1
41899,10,20967,22080.1,1086,14487,14477.1,35,522,304,194,skewed_1
58429,10,20967,22080.1,10,18775.2,22043.6,53,38,33,34,non_skewed
64870,10,20967,22080.1,1728,16381.8,21717.2,66,50,46,48,non_skewed
65058,10,20967,22080.1,2588,17323.2,21529.6,84,53,60,49,vector
65155,10,20967,22080.1,875,15857.8,21559.8,65,43,42,42,non_skewed
41896,10,20967,22080.1,106,14883,14933.6,53,82,77,64,skewed_1
41899,10,20967,22080.1,1472,6912.75,6899.73,43,699,389,248,skewed_1
41896,10,20967,22080.1,30,18332,18625,53,52,51,43,vector
62514,10,20967,22080.1,474,17240.4,21733.9,50,42,41,44,non_skewed
65492,10,20967,22080.1,25599,16146,21159.3,188,182,115,92,vector
41896,10,20967,22080.1,8,15167.2,16193.1,50,40,37,25,vector
62883,10,20967,22080.1,18,21216.7,25232.1,41,21,21,48,skewed_2
63612,10,20967,22080.1,1054,15886.2,20492.4,47,35,48,46,skewed_2
65396,10,20967,22080.1,6143,16768.8,21147.7,92,62,63,52,vector
65396,10,20967,22080.1,6143,16768.8,21147.7,94,61,68,39,vector
65481,10,20967,22080.1,6272,16226,20793.6,76,92,79,70,vector
65020,10,20967,22080.1,886,15372.3,19820.7,45,21,30,44,skewed_2
64846,10,20967,22080.1,4657,16038.5,20258.9,111,100,87,77,vector
58525,10,20967,22080.1,390,29233,29251.6,35,21,20,27,non_skewed
41896,10,20967,22080.1,6,19153,20959.2,38,41,39,59,skewed_1
41910,10,20967,22080.1,146,11107.5,11139.7,44,99,73,67,skewed_1
65172,10,20967,22080.1,2964,17039.6,21359.4,69,46,63,49,skewed_2
65503,10,20967,22080.1,489,17958.6,22668.1,44,25,29,34,skewed_2
65504,10,20967,22080.1,3629,16238,20784.1,66,43,47,41,vector
65195,10,20967,22080.1,189,23413.2,26156.8,32,34,34,87,skewed_1
65457,10,20967,22080.1,7132,16050.6,20763.7,64,80,78,69,skewed_1
61842,10,20967,22080.1,134,14796.6,20802.6,40,21,21,21,skewed_2
65271,10,20967,22080.1,1397,16773.3,21118.5,40,40,48,45,skewed_1
46289,10,20967,22080.1,98,23150.5,23251.4,41,21,20,21,non_skewed
41914,10,20967,22080.1,1750,18571,18575.2,52,820,444,288,skewed_1
65493,10,20967,22080.1,19229,16734.2,21491.3,85,107,87,72,vector
64723,10,20967,22080.1,815,17811.6,22576.6,45,20,19,33,non_skewed
65511,10,20967,22080.1,12643,16861.8,21310.8,72,133,101,79,skewed_1
41915,10,20967,22080.1,8,10507.9,14571.3,43,27,27,21,vector
65392,10,20967,22080.1,1782,15061.5,19735,103,43,50,41,vector
56159,10,20967,22080.1,4,26915.5,31126.3,39,22,21,38,non_skewed
41903,10,20967,22080.1,2,2051,2882.17,40,20,19,19,non_skewed
65021,10,20967,22080.1,541,18893.1,23253.3,34,53,59,137,skewed_1
65513,10,20967,22080.1,3127,16820,21358.8,73,42,50,45,skewed_2
41911,10,20967,22080.1,182,19980.5,20030.6,49,117,83,78,skewed_1
64487,10,20967,22080.1,106,14940.6,18990.5,53,36,23,39,non_skewed
59572,10,20967,22080.1,1654,29590.5,29588.9,42,21,21,21,skewed_2
64253,10,20967,22080.1,298,16411.8,21928,36,22,19,29,non_skewed
64103,10,20967,22080.1,1943,16372.9,20295.6,74,50,62,55,skewed_2
65437,10,20967,22080.1,469,18753.8,20406.8,100,82,70,59,vector
65523,10,20967,22080.1,3418,17894.5,22021.2,76,48,58,48,skewed_2
41896,10,20967,22080.1,34,15564,15777.8,50,51,52,43,vector
41909,10,20967,22080.1,36,12585.6,13363.8,39,54,46,44,skewed_1
41899,10,20967,22080.1,98,12251,12296.9,39,77,62,66,skewed_1
63820,10,20967,22080.1,4,21948.8,30114,40,22,21,34,non_skewed
63979,10,20967,22080.1,1350,15995.5,21062.9,41,50,62,65,skewed_1
64921,10,20967,22080.1,670,18529.6,21968.5,71,45,50,48,skewed_2
65527,10,20967,22080.1,9677,16546.4,20927.6,150,99,83,65,vector
65507,10,20967,22080.1,11147,16848.2,21368.1,101,128,98,80,vector
53416,10,20967,22080.1,2,26714,37770.8,41,23,20,33,non_skewed
56624,10,20967,22080.1,6,26170.2,29038.3,42,21,20,24,non_skewed
41896,10,20967,22080.1,8,20409.2,21797,42,27,26,38,non_skewed
41896,10,20967,22080.1,8,19446.2,20767.5,31,22,21,22,non_skewed
61146,10,20967,22080.1,1262,30431.5,30427.8,39,21,20,34,non_skewed
