range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65533,13256,16425.4,20910.7,190424,16533.4,20966,15671,6971,20240,5219,vector
65535,13256,16425.4,20910.7,1443329,16707.1,21108.2,22841,25359,27511,228167,skewed_1
65529,13256,16425.4,20910.7,11040,16500.9,20916,3006,6984,12163,3065,skewed_1
65529,13256,16425.4,20910.7,130,16943.1,21245.4,356,385,271,165,vector
65529,13256,16425.4,20910.7,445,16921.6,21310.2,491,608,541,167,vector
65529,13256,16425.4,20910.7,2078,16733.6,21468.5,1104,1398,1972,1862,skewed_1
65529,13256,16425.4,20910.7,28456,17700.6,21532.7,3783,18243,15600,5335,skewed_1
65534,13256,16425.4,20910.7,36099,16448.5,20986.7,5822,12189,21882,6648,skewed_1
65534,13256,16425.4,20910.7,68734,16603.9,21077.1,6277,14914,15447,7273,skewed_1
65529,13256,16425.4,20910.7,162,17178.5,21446.8,422,526,322,196,vector
65534,13256,16425.4,20910.7,97017,16618.4,20917.2,8471,9703,30468,15772,skewed_1
65534,13256,16425.4,20910.7,73888,16762,21264.8,5984,7826,9462,14947,skewed_1
65529,13256,16425.4,20910.7,445,16546.3,20997.4,633,481,479,162,vector
65529,13256,16425.4,20910.7,91,14970.1,19824.2,310,363,286,216,vector
65529,13256,16425.4,20910.7,8880,17154.2,17178.1,626,4494,4309,1411,skewed_1
65534,13256,16425.4,20910.7,112507,16517.8,20958.6,8897,5380,15953,20488,skewed_2
65529,13256,16425.4,20910.7,6542,14580,14586.4,890,4208,3261,1092,skewed_1
65531,13256,16425.4,20910.7,1198,18908.2,23072.1,411,1337,4049,2152,skewed_1
65534,13256,16425.4,20910.7,10443,16808.9,21161.9,3009,3701,6223,2288,vector
65529,13256,16425.4,20910.7,738,16811,21334.4,804,855,722,1636,non_skewed
65529,13256,16425.4,20910.7,308,17528.4,21442.4,520,317,375,896,skewed_2
65534,13256,16425.4,20910.7,48446,16667.3,21014.5,5635,4696,6878,9819,skewed_2
65529,13256,16425.4,20910.7,10038,16514.5,16534.1,755,5150,4865,1608,skewed_1
65529,13256,16425.4,20910.7,11568,16545.6,21039.9,2990,6184,9309,3491,skewed_1
65531,13256,16425.4,20910.7,46454,16625.6,21090.5,5135,22570,22460,7423,skewed_1
