range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
65529,13256,16425.4,20910.7,1665,16242.8,20699.8,905,298,1557,skewed_2
65531,13256,16425.4,20910.7,47422,16671.2,21111.9,3345,1357,11646,skewed_2
65529,13256,16425.4,20910.7,434,16740,21412.9,437,230,600,skewed_2
65535,13256,16425.4,20910.7,203042,16553.7,21025.7,4204,4222,15824,skewed_1
65532,13256,16425.4,20910.7,29794,16517.7,20978,2488,1056,14227,skewed_2
65532,13256,16425.4,20910.7,16650,16349.9,20855,1888,591,8983,skewed_2
65532,13256,16425.4,20910.7,16650,16349.9,20855,1719,539,7737,skewed_2
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,4815,4636,13293,skewed_2
65534,13256,16425.4,20910.7,131331,16661.7,21053.2,3344,3119,22234,skewed_2
65535,13256,16425.4,20910.7,81094,16647.5,20996,4289,2032,14459,skewed_2
65529,13256,16425.4,20910.7,3806,8989.5,8992.08,1316,32367,1169,non_skewed
65533,13256,16425.4,20910.7,188809,16531.8,20963,3781,4420,22017,skewed_1
65534,13256,16425.4,20910.7,42800,16567.8,21074.9,1325,1164,10373,skewed_2
65534,13256,16425.4,20910.7,108226,16697.2,21074,2622,2598,11755,skewed_2
65529,13256,16425.4,20910.7,188,16587.9,21364.4,331,178,450,skewed_2
65534,13256,16425.4,20910.7,48446,16667.3,21014.5,2803,1270,10301,skewed_2
65529,13256,16425.4,20910.7,168,16403.2,20545.7,525,1520,428,non_skewed
65529,13256,16425.4,20910.7,378,16156.3,20589.2,598,211,544,skewed_2
65535,13256,16425.4,20910.7,499585,16626.2,21049.8,5281,10883,16112,skewed_1
65534,13256,16425.4,20910.7,65746,16751.1,21147.2,2904,1739,14726,skewed_2
65529,13256,16425.4,20910.7,255,16769.4,21213.7,455,208,494,skewed_2
65529,13256,16425.4,20910.7,249,15939.6,20803.3,479,168,430,skewed_2
65533,13256,16425.4,20910.7,31577,16453.5,20863.5,2539,926,12211,skewed_2
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,4472,4815,12782,skewed_1
65529,13256,16425.4,20910.7,459,16771.6,21221,852,207,563,skewed_2
65535,13256,16425.4,20910.7,1749744,16655.9,21067.6,5568,34351,24847,skewed_1
65529,13256,16425.4,20910.7,7747,16634.6,21170.1,1184,500,7555,skewed_2
65534,13256,16425.4,20910.7,73888,16762,21264.8,1373,1546,11966,skewed_1
65534,13256,16425.4,20910.7,47373,16777.6,21172.9,2896,985,19172,skewed_2
65535,13256,16425.4,20910.7,1434753,16577.3,21012.1,4950,57726,41903,skewed_1
65535,13256,16425.4,20910.7,92535,16663.5,21065.6,2332,2113,16249,skewed_2
65529,13256,16425.4,20910.7,4876,17785.5,20945.4,1103,688,3534,skewed_2
65531,13256,16425.4,20910.7,29803,16721.3,21094.2,1733,1046,10742,skewed_2
65535,13256,16425.4,20910.7,133473,16616.3,21076.2,3432,3180,21995,skewed_2
65535,13256,16425.4,20910.7,446607,16652.2,21123.9,3013,8484,14625,skewed_1
65529,13256,16425.4,20910.7,146,17242.5,21751.9,342,1278,468,skewed_1
65534,13256,16425.4,20910.7,10443,16808.9,21161.9,1220,529,9048,skewed_2
65534,13256,16425.4,20910.7,73888,16762,21264.8,1238,1565,11749,skewed_1
65529,13256,16425.4,20910.7,172,16241.4,20725.8,448,164,437,skewed_2
65529,13256,16425.4,20910.7,2245,17115,21249.5,1584,403,1450,skewed_2
65531,13256,16425.4,20910.7,103115,16633.6,21010.5,2106,2812,13557,skewed_1
65529,13256,16425.4,20910.7,6982,16532.3,21109.1,1216,387,3737,skewed_2
65530,13256,16425.4,20910.7,19699,16595.7,21151.9,1751,712,8888,skewed_2
65533,13256,16425.4,20910.7,4186,16717,20868.1,1131,389,7734,skewed_2
65529,13256,16425.4,20910.7,4028,27492.2,27488.7,1311,34125,1522,skewed_1
65529,13256,16425.4,20910.7,226,17309.6,21519.2,577,1881,460,non_skewed
65529,13256,16425.4,20910.7,233,16972.6,20952.4,518,176,421,skewed_2
65529,13256,16425.4,20910.7,9934,13142.5,13167.3,2185,67476,3010,skewed_1
65529,13256,16425.4,20910.7,278,16119.2,20537,561,2360,460,non_skewed
65529,13256,16425.4,20910.7,11844,16628.1,21155.6,1600,607,8937,skewed_2
65534,13256,16425.4,20910.7,17083,16625.2,21188.3,2351,630,14179,skewed_2
65532,13256,16425.4,20910.7,29794,16517.7,20978,2400,861,14394,skewed_2
65535,13256,16425.4,20910.7,530445,16886.4,21253.8,5175,2960,15786,skewed_2
65534,13256,16425.4,20910.7,55919,16789.3,21222.2,2224,1915,11400,skewed_2
65535,13256,16425.4,20910.7,203042,16553.7,21025.7,5413,4277,16081,skewed_2
65531,13256,16425.4,20910.7,3394,19531.3,22374.8,1053,557,7383,skewed_2
65534,13256,16425.4,20910.7,42800,16567.8,21074.9,1396,1165,10366,skewed_2
65535,13256,16425.4,20910.7,530445,16886.4,21253.8,4795,3201,15364,skewed_2
65529,13256,16425.4,20910.7,14588,17150.3,20380.9,1190,751,10196,skewed_2
65529,13256,16425.4,20910.7,451,17048,21430.6,462,225,531,skewed_2
65531,13256,16425.4,20910.7,29803,16721.3,21094.2,1540,1203,10940,skewed_2
65534,13256,16425.4,20910.7,55919,16789.3,21222.2,2529,1399,11094,skewed_2
65534,13256,16425.4,20910.7,88039,16640.4,21065.3,3135,2367,20851,skewed_2
65535,13256,16425.4,20910.7,1434753,16577.3,21012.1,4899,36310,26160,skewed_1
65529,13256,16425.4,20910.7,278,17093.7,21678.7,714,2229,553,non_skewed
65535,13256,16425.4,20910.7,96613,16755.1,21130.1,2868,2508,19849,skewed_2
65529,13256,16425.4,20910.7,246,16996.9,21074.6,581,2119,468,non_skewed
65531,13256,16425.4,20910.7,39873,16656.6,21057,3661,1150,22006,skewed_2
65530,13256,16425.4,20910.7,8178,16635.4,21038.6,1912,487,10919,skewed_2
65529,13256,16425.4,20910.7,25578,16662.7,21009.7,1693,835,10679,skewed_2
65529,13256,16425.4,20910.7,703,16302,20772.4,575,275,636,skewed_2
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,4400,4743,13193,skewed_1
65535,13256,16425.4,20910.7,530445,16886.4,21253.8,4334,2925,16278,skewed_2
65529,13256,16425.4,20910.7,175,17951.1,21771.2,415,285,405,skewed_2
65529,13256,16425.4,20910.7,4898,16903.4,21166,1350,410,2961,skewed_2
65533,13256,16425.4,20910.7,190424,16533.4,20966,2184,4678,22618,skewed_1
65535,13256,16425.4,20910.7,1443329,16707.1,21108.2,7265,27684,22377,skewed_1
65529,13256,16425.4,20910.7,11040,16500.9,20916,890,470,12116,skewed_2
65529,13256,16425.4,20910.7,130,16943.1,21245.4,373,189,352,skewed_2
65529,13256,16425.4,20910.7,445,16921.6,21310.2,536,204,554,skewed_2
65529,13256,16425.4,20910.7,2078,16733.6,21468.5,1027,363,1537,skewed_2
65529,13256,16425.4,20910.7,28456,17700.6,21532.7,2016,890,10708,skewed_2
65534,13256,16425.4,20910.7,36099,16448.5,20986.7,1767,1134,20607,skewed_2
65534,13256,16425.4,20910.7,68734,16603.9,21077.1,2234,1669,15672,skewed_2
65529,13256,16425.4,20910.7,162,17178.5,21446.8,414,172,429,skewed_2
65534,13256,16425.4,20910.7,97017,16618.4,20917.2,4523,2815,24461,skewed_2
65534,13256,16425.4,20910.7,73888,16762,21264.8,1294,1429,11747,skewed_1
65529,13256,16425.4,20910.7,445,16546.3,20997.4,548,193,477,skewed_2
65529,13256,16425.4,20910.7,91,14970.1,19824.2,119,215,350,skewed_1
65529,13256,16425.4,20910.7,8880,17154.2,17178.1,979,79947,2452,skewed_1
65534,13256,16425.4,20910.7,112507,16517.8,20958.6,3735,2484,15674,skewed_2
65529,13256,16425.4,20910.7,6542,14580,14586.4,1343,55317,1985,skewed_1
65531,13256,16425.4,20910.7,1198,18908.2,23072.1,689,5607,6982,skewed_1
65534,13256,16425.4,20910.7,10443,16808.9,21161.9,1256,470,8862,skewed_2
65529,13256,16425.4,20910.7,738,16811,21334.4,969,211,692,skewed_2
65529,13256,16425.4,20910.7,308,17528.4,21442.4,469,169,395,skewed_2
65534,13256,16425.4,20910.7,48446,16667.3,21014.5,2843,1293,10295,skewed_2
65529,13256,16425.4,20910.7,10038,16514.5,16534.1,1829,79280,2847,skewed_1
65529,13256,16425.4,20910.7,11568,16545.6,21039.9,1211,512,9092,skewed_2
65531,13256,16425.4,20910.7,46454,16625.6,21090.5,2932,1121,19713,skewed_2
65532,13256,16425.4,20910.7,42115,16639.5,21084.9,1916,962,11245,skewed_2
65529,13256,16425.4,20910.7,103,14159.9,19406.1,432,180,370,skewed_2
65529,13256,16425.4,20910.7,89,14953.2,20220.8,423,486,327,non_skewed
65531,13256,16425.4,20910.7,863,16965.1,21318.4,588,168,6622,skewed_2
65529,13256,16425.4,20910.7,7560,19842.2,19854.6,1087,67815,2142,skewed_1
65529,13256,16425.4,20910.7,7964,17171.7,20027.5,1310,847,4984,skewed_2
65529,13256,16425.4,20910.7,27360,16477.9,20918.7,1375,933,14187,skewed_2
65529,13256,16425.4,20910.7,32,12999.2,18763,233,501,277,skewed_1
65532,13256,16425.4,20910.7,29794,16517.7,20978,2273,926,14101,skewed_2
65529,13256,16425.4,20910.7,2014,17821.9,21435.7,1379,371,1928,skewed_2
